kalimat,cleaned,hasil_label_transformer
Aplikasi ini memiliki performa yang stabil bagi tim kerja di perangkat iOS,aplikasi ini memiliki performa yang stabil bagi tim kerja di perangkat ios,Positif
Aplikasi mobile ini tersedia di berbagai platform bagi pengguna aplikasi secara umum,aplikasi mobile ini tersedia di berbagai platform bagi pengguna aplikasi secara umum,Netral
Layanan aplikasi bermasalah saat dijalankan bagi pengguna aplikasi secara umum,layanan aplikasi bermasalah saat dijalankan bagi pengguna aplikasi secara umum,Negatif
Aplikasi mobile ini berfungsi dengan optimal bagi pengguna baru di perangkat Android,aplikasi mobile ini berfungsi dengan optimal bagi pengguna baru di perangkat android,Positif
Platform digital ini berfungsi dengan optimal bagi pengguna lama dalam penggunaan sehari-hari,platform digital ini berfungsi dengan optimal bagi pengguna lama dalam penggunaan seharihari,Positif
Layanan aplikasi menghambat pekerjaan bagi pengguna aplikasi saat digunakan secara rutin,layanan aplikasi menghambat pekerjaan bagi pengguna aplikasi saat digunakan secara rutin,Negatif
Aplikasi yang digunakan tersedia untuk pengguna bagi saya,aplikasi yang digunakan tersedia untuk pengguna bagi saya,Netral
Aplikasi ini berjalan sangat lambat bagi pengguna aplikasi dalam kondisi normal,aplikasi ini berjalan sangat lambat bagi pengguna aplikasi dalam kondisi normal,Negatif
Layanan aplikasi sering mengalami error bagi pengguna aplikasi dalam kondisi normal,layanan aplikasi sering mengalami error bagi pengguna aplikasi dalam kondisi normal,Negatif
Platform digital ini memiliki performa yang stabil bagi pengguna lama dalam kondisi normal,platform digital ini memiliki performa yang stabil bagi pengguna lama dalam kondisi normal,Positif
Aplikasi mobile ini digunakan untuk kebutuhan tertentu bagi tim kerja,aplikasi mobile ini digunakan untuk kebutuhan tertentu bagi tim kerja,Netral
Aplikasi mobile ini memiliki tampilan standar bagi pengguna baru di perangkat iOS,aplikasi mobile ini memiliki tampilan standar bagi pengguna baru di perangkat ios,Netral
Aplikasi yang digunakan memiliki performa yang stabil bagi saya dalam penggunaan sehari-hari,aplikasi yang digunakan memiliki performa yang stabil bagi saya dalam penggunaan seharihari,Positif
Layanan aplikasi sering mengalami gangguan bagi saya saat digunakan secara rutin,layanan aplikasi sering mengalami gangguan bagi saya saat digunakan secara rutin,Negatif
Platform digital ini responsif saat dijalankan bagi pengguna lama di perangkat Android,platform digital ini responsif saat dijalankan bagi pengguna lama di perangkat android,Positif
Sistem aplikasi dapat digunakan bagi pengguna,sistem aplikasi dapat digunakan bagi pengguna,Netral
Sistem aplikasi memberikan pengalaman yang memuaskan bagi tim kerja di perangkat Android,sistem aplikasi memberikan pengalaman yang memuaskan bagi tim kerja di perangkat android,Positif
Aplikasi ini meningkatkan produktivitas bagi saya dalam penggunaan sehari-hari,aplikasi ini meningkatkan produktivitas bagi saya dalam penggunaan seharihari,Positif
Aplikasi ini mudah digunakan bagi tim kerja di perangkat Android,aplikasi ini mudah digunakan bagi tim kerja di perangkat android,Positif
Platform digital ini mudah digunakan bagi pengguna lama di perangkat iOS,platform digital ini mudah digunakan bagi pengguna lama di perangkat ios,Positif
Aplikasi ini mudah digunakan bagi pengguna baru pada versi terbaru,aplikasi ini mudah digunakan bagi pengguna baru pada versi terbaru,Positif
Aplikasi yang digunakan digunakan untuk kebutuhan tertentu bagi saya di perangkat Android,aplikasi yang digunakan digunakan untuk kebutuhan tertentu bagi saya di perangkat android,Netral
Aplikasi yang digunakan bermasalah saat dijalankan bagi pengguna aplikasi di perangkat Android,aplikasi yang digunakan bermasalah saat dijalankan bagi pengguna aplikasi di perangkat android,Negatif
Platform digital ini menyediakan layanan digital bagi pengguna baru secara umum,platform digital ini menyediakan layanan digital bagi pengguna baru secara umum,Netral
Sistem aplikasi sulit untuk digunakan bagi saya secara umum,sistem aplikasi sulit untuk digunakan bagi saya secara umum,Negatif
Sistem aplikasi meningkatkan produktivitas bagi pengguna lama,sistem aplikasi meningkatkan produktivitas bagi pengguna lama,Positif
Platform digital ini memudahkan pekerjaan bagi pengguna aplikasi,platform digital ini memudahkan pekerjaan bagi pengguna aplikasi,Positif
Sistem aplikasi menyediakan layanan digital bagi pengguna baru secara umum,sistem aplikasi menyediakan layanan digital bagi pengguna baru secara umum,Netral
Sistem aplikasi sering mengalami gangguan bagi pengguna di perangkat Android,sistem aplikasi sering mengalami gangguan bagi pengguna di perangkat android,Negatif
Aplikasi yang digunakan memiliki performa yang stabil bagi pengguna di perangkat iOS,aplikasi yang digunakan memiliki performa yang stabil bagi pengguna di perangkat ios,Positif
Layanan aplikasi menyediakan layanan digital bagi tim kerja dalam kondisi normal,layanan aplikasi menyediakan layanan digital bagi tim kerja dalam kondisi normal,Netral
Sistem aplikasi memiliki performa yang stabil bagi pengguna baru secara umum,sistem aplikasi memiliki performa yang stabil bagi pengguna baru secara umum,Positif
Aplikasi mobile ini sulit untuk digunakan bagi tim kerja di perangkat Android,aplikasi mobile ini sulit untuk digunakan bagi tim kerja di perangkat android,Negatif
